country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Azerbaijan,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,1,0,0,2,3,1,0,1,0,0
Cambodia,0,0,4,2,1,1,1,1,8,3,26,9,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
China,1,0,8,13,5,4,7,2,1,2,2,2,6,0,0
Djibouti,0,0,0,8,3,359,0,0,0,0,0,0,0,0,0
Egypt,0,0,0,18,25,8,39,29,39,11,8,3,136,10,3
Indonesia,0,0,20,55,42,24,21,9,12,9,3,2,2,0,0
Iraq,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Laos,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Myanmar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nigeria,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pakistan,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Thailand,0,17,5,3,0,0,0,0,0,0,0,0,0,0,0
Turkey,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
Vietnam,3,29,61,0,8,859,5,7,0,4,2,2,0,0,0
