country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Azerbaijan,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cambodia,0,0,4,2,1,0,0,1,8,3,14,4,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
China,1,0,5,8,3,4,4,1,1,1,2,0,1,0,0
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,0,0,0,10,9,4,4,13,15,5,3,14,39,3,1
Indonesia,0,0,13,45,37,20,19,7,10,9,3,2,2,0,0
Iraq,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Laos,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pakistan,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Thailand,0,12,2,3,0,0,0,0,0,0,0,0,0,0,0
Turkey,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Vietnam,3,20,19,0,5,5,5,2,0,2,1,2,0,0,0
